Start time = Sat Mar  6 19:59:36 2021

Format: rel.time(s) press(Pa) altitude(m) temp(oC) [pitch roll yaw](rad) [ax ay az](Gs)

-12.1319;por definir;[0.01, 0.076, 0.983];[359.355, 4.402, 197.558];1615060778.49787
-12.1723;por definir;[0.01, 0.077, 0.984];[359.355, 4.402, 197.558];1615060778.49787
-12.1723;por definir;[0.012, 0.075, 0.984];[359.355, 4.402, 197.558];1615060778.49787
-12.1703;por definir;[0.013, 0.074, 0.983];[359.351, 4.403, 197.722];1615060778.58702
-12.1885;por definir;[0.012, 0.075, 0.986];[359.348, 4.401, 197.784];1615060778.61918
-12.1804;por definir;[0.012, 0.074, 0.982];[359.347, 4.399, 197.838];1615060778.65087
-12.1845;por definir;[0.013, 0.076, 0.985];[359.346, 4.404, 197.882];1615060778.6877
-12.1784;por definir;[0.012, 0.076, 0.985];[359.345, 4.41, 197.889];1615060778.72004
-12.1824;por definir;[0.011, 0.075, 0.981];[359.345, 4.41, 197.825];1615060778.75143
-12.1824;por definir;[0.013, 0.075, 0.982];[359.341, 4.408, 197.732];1615060778.78138
-12.1481;por definir;[0.011, 0.075, 0.983];[359.341, 4.408, 197.732];1615060778.78138
-12.1481;por definir;[0.013, 0.076, 0.985];[359.34, 4.408, 197.703];1615060778.81827
-12.1602;por definir;[0.013, 0.074, 0.983];[359.338, 4.404, 197.561];1615060778.88013
-12.1602;por definir;[0.012, 0.074, 0.985];[359.338, 4.404, 197.561];1615060778.88013
-12.1764;por definir;[0.011, 0.077, 0.984];[359.336, 4.407, 197.416];1615060778.94831
-12.1764;por definir;[0.012, 0.076, 0.984];[359.336, 4.407, 197.416];1615060778.94831
-12.1744;por definir;[0.012, 0.076, 0.985];[359.333, 4.406, 197.424];1615060778.98564
-12.1521;por definir;[0.012, 0.076, 0.984];[359.329, 4.404, 197.46];1615060779.01889
-12.1562;por definir;[0.011, 0.075, 0.984];[359.329, 4.403, 197.514];1615060779.05234
-12.1582;por definir;[0.013, 0.075, 0.983];[359.332, 4.401, 197.568];1615060779.08558
-12.1925;por definir;[0.013, 0.076, 0.984];[359.328, 4.403, 197.595];1615060779.11883
-12.2026;por definir;[0.009, 0.075, 0.984];[359.33, 4.402, 197.627];1615060779.15249
-12.2188;por definir;[0.013, 0.076, 0.983];[359.333, 4.403, 197.67];1615060779.18743
-12.2289;por definir;[0.013, 0.075, 0.983];[359.33, 4.405, 197.737];1615060779.22106
-12.2289;por definir;[0.011, 0.076, 0.984];[359.33, 4.401, 197.776];1615060779.29495
-12.1925;por definir;[0.012, 0.075, 0.986];[359.33, 4.397, 197.755];1615060779.33046
-12.1925;por definir;[0.012, 0.075, 0.981];[359.33, 4.397, 197.755];1615060779.33046
-12.235;por definir;[0.011, 0.076, 0.985];[359.329, 4.4, 197.741];1615060779.39686
-12.235;por definir;[0.012, 0.076, 0.986];[359.329, 4.4, 197.741];1615060779.39686
-12.2188;por definir;[0.013, 0.075, 0.983];[359.326, 4.399, 197.778];1615060779.43198
-12.2188;por definir;[0.01, 0.076, 0.985];[359.327, 4.394, 197.876];1615060779.49741
-12.2127;por definir;[0.012, 0.076, 0.986];[359.326, 4.395, 197.905];1615060779.51531
-12.2127;por definir;[0.012, 0.074, 0.984];[359.326, 4.395, 197.905];1615060779.54904
-12.2127;por definir;[0.012, 0.076, 0.984];[359.326, 4.395, 197.905];1615060779.54904
-12.1622;por definir;[0.012, 0.075, 0.985];[359.323, 4.392, 197.96];1615060779.61876
-12.1663;por definir;[0.012, 0.076, 0.984];[359.323, 4.392, 197.96];1615060779.61876
-12.2026;por definir;[0.011, 0.075, 0.985];[359.327, 4.394, 198.027];1615060779.68623
-12.1683;por definir;[0.011, 0.077, 0.983];[359.327, 4.394, 198.027];1615060779.68623
-12.1542;por definir;[0.012, 0.075, 0.985];[359.328, 4.396, 198.077];1615060779.72387
-12.1542;por definir;[0.011, 0.075, 0.984];[359.331, 4.395, 198.131];1615060779.75735
-12.1239;por definir;[0.012, 0.076, 0.983];[359.337, 4.392, 198.27];1615060779.82078
-12.0855;por definir;[0.012, 0.076, 0.985];[359.336, 4.39, 198.303];1615060779.85317
-12.1016;por definir;[0.011, 0.075, 0.983];[359.338, 4.392, 198.327];1615060779.88882
-12.1016;por definir;[0.011, 0.076, 0.986];[359.338, 4.392, 198.327];1615060779.88882
-12.1097;por definir;[0.012, 0.075, 0.986];[359.34, 4.393, 198.347];1615060779.9241
-12.0996;por definir;[0.012, 0.075, 0.986];[359.339, 4.394, 198.336];1615060779.96489
-12.1138;por definir;[0.012, 0.076, 0.982];[359.339, 4.393, 198.35];1615060780.00364
-12.1138;por definir;[0.013, 0.077, 0.987];[359.335, 4.398, 198.38];1615060780.0367
-12.138;por definir;[0.015, 0.077, 0.983];[359.331, 4.399, 198.371];1615060780.10077
-12.138;por definir;[0.011, 0.076, 0.982];[359.331, 4.399, 198.371];1615060780.10077
-12.1259;por definir;[0.013, 0.075, 0.986];[359.328, 4.401, 198.358];1615060780.16844
